"","date","collect_time","individual_ID","SVL_mm","mass_g","sex_M_F","gravid_Y_N","blood_sample_eye","hematocrit_percent","osmolality_mmol_kg","cloacal_temp_C","processing_time","hemolyzed","collect_date_time","hold_time"
"115",2021-05-10,2021-06-22 12:52:00,117,67,13,"M",NA,"R",39,352,20,2021-06-22 16:45:00,"N",2021-05-10 12:52:00,233
"116",2021-05-10,2021-06-22 13:03:00,118,68,10.2,"M",NA,"R",22,372,21,2021-06-22 16:50:00,"N",2021-05-10 13:03:00,227
"117",2021-05-10,2021-06-22 12:41:00,119,69,12.4,"F","Y","R",37,406,22,2021-06-22 16:15:00,"Y",2021-05-10 12:41:00,214
"118",2021-05-10,2021-06-22 13:10:00,120,50,5.1,"M",NA,"R",33,371,21,2021-06-22 17:15:00,"Y",2021-05-10 13:10:00,245
"119",2021-05-10,2021-06-22 13:21:00,121,58,7.6,"F","Y","R",35,398,NA,NA,"Y",2021-05-10 13:21:00,NA
"120",2021-05-10,2021-06-22 12:55:00,122,65,11.8,"M",NA,"R",28,363,22,2021-06-22 17:04:00,"N",2021-05-10 12:55:00,249
"121",2021-05-17,2021-06-22 12:19:00,123,72,11.9,"M",NA,"R",52,362,27,2021-06-22 12:47:00,NA,2021-05-17 12:19:00,28
"122",2021-05-17,2021-06-22 12:28:00,124,73,13,"F","Y","R",39,358,26,2021-06-22 12:55:00,NA,2021-05-17 12:28:00,27
"123",2021-05-17,2021-06-22 12:25:00,125,65,9.2,"F","Y","R",37,346,26,2021-06-22 13:23:00,NA,2021-05-17 12:25:00,58
"124",2021-05-17,2021-06-22 12:48:00,126,69,9.7,"F","N","R",36,360,26,2021-06-22 13:36:00,NA,2021-05-17 12:48:00,48
"125",2021-05-17,2021-06-22 12:30:00,127,59,5.6,"F","N","R",38,337,24,2021-06-22 13:46:00,"Y",2021-05-17 12:30:00,76
"126",2021-05-17,2021-06-22 12:33:00,128,61,8.7,"M",NA,"R",35,348,23,2021-06-22 13:58:00,NA,2021-05-17 12:33:00,85
"127",2021-05-17,2021-06-22 12:31:00,129,70,11.2,"M",NA,"R",32,359,23,2021-06-22 14:06:00,NA,2021-05-17 12:31:00,95
"128",2021-05-17,2021-06-22 12:49:00,130,73,12.7,"M",NA,"R",31,346,25,2021-06-22 14:19:00,NA,2021-05-17 12:49:00,90
"129",2021-05-17,2021-06-22 12:34:00,131,68,10.9,"F","Y","R",29,362,24,2021-06-22 14:28:00,NA,2021-05-17 12:34:00,114
"130",2021-05-17,2021-06-22 12:24:00,132,70,11.7,"M",NA,"R",36,355,25,2021-06-22 14:36:00,NA,2021-05-17 12:24:00,132
"131",2021-05-17,2021-06-22 12:33:00,133,71,13.1,"F","Y","R",35,371,25,2021-06-22 14:45:00,NA,2021-05-17 12:33:00,132
"132",2021-05-17,2021-06-22 12:38:00,134,59,5.3,"M",NA,"R",39,365,24,2021-06-22 14:54:00,NA,2021-05-17 12:38:00,136
"133",2021-05-17,2021-06-22 13:01:00,135,71,14.6,"M",NA,"R",41,362,23,2021-06-22 15:08:00,NA,2021-05-17 13:01:00,127
"134",2021-05-17,2021-06-22 12:47:00,136,67,12.7,"F","Y","R",27,368,22,2021-06-22 15:19:00,NA,2021-05-17 12:47:00,152
"135",2021-05-17,2021-06-22 12:57:00,137,68,10.8,"F","Y","R",31,368,24,2021-06-22 15:31:00,NA,2021-05-17 12:57:00,154
"136",2021-05-17,2021-06-22 12:35:00,138,66,9.8,"F","Y","R",27,387,21,2021-06-22 15:42:00,NA,2021-05-17 12:35:00,187
"137",2021-05-17,2021-06-22 12:47:00,139,70,10.7,"F","N","R",34,394,22,2021-06-22 15:52:00,"Y",2021-05-17 12:47:00,185
"138",2021-05-17,2021-06-22 12:38:00,140,66,10.8,"M",NA,"R",30,347,22,2021-06-22 16:00:00,NA,2021-05-17 12:38:00,202
"139",2021-05-17,2021-06-22 12:31:00,141,55,6.4,"F","N","R",36,387,22,2021-06-22 16:09:00,"Y",2021-05-17 12:31:00,218
"140",2021-05-17,2021-06-22 12:54:00,142,69,12.4,"F","Y","R",33,387,22,2021-06-22 16:18:00,NA,2021-05-17 12:54:00,204
"141",2021-05-17,2021-06-22 12:37:00,143,68,11.7,"F","Y","R",38,384,22,2021-06-22 16:30:00,"Y",2021-05-17 12:37:00,233
"142",2021-05-17,2021-06-22 12:39:00,144,72,13.3,"M",NA,"R",36,366,22,2021-06-22 16:38:00,NA,2021-05-17 12:39:00,239
"143",2021-05-17,2021-06-22 12:27:00,145,69,12.3,"M",NA,"R",39,355,23,2021-06-22 16:46:00,NA,2021-05-17 12:27:00,259
"144",2021-05-17,2021-06-22 12:53:00,146,67,10.7,"M",NA,"R",26,371,24,2021-06-22 16:54:00,"Y",2021-05-17 12:53:00,241
"145",2021-05-17,2021-06-22 12:40:00,147,67,10.2,"F","Y","R",27,375,23,2021-06-22 16:59:00,"Y",2021-05-17 12:40:00,259
"146",2021-05-17,2021-06-22 12:45:00,148,67,12,"M",NA,"R",36,387,23,2021-06-22 17:06:00,NA,2021-05-17 12:45:00,261
"147",2021-05-17,2021-06-22 12:48:00,149,60,7.7,"M",NA,"R",38,425,24,2021-06-22 17:14:00,NA,2021-05-17 12:48:00,266
"148",2021-05-17,2021-06-22 12:55:00,150,60,6.9,"M",NA,"R",42,436,22,2021-06-22 17:23:00,"Y",2021-05-17 12:55:00,268
